month,gives,infektioner,alvorlige,meningitis,forårsaget,vaccination,vaccinen,alvorlig,børn,gang,typer,år,blodforgiftning
2011-01,222,84,0,132,0,422,0,0,339,332,289,315,61
2011-02,205,75,0,156,0,251,0,88,282,252,243,227,55
2011-03,205,75,0,95,0,226,0,97,259,261,229,230,49
2011-04,208,88,0,96,0,244,0,92,255,280,244,215,57
2011-05,269,100,0,111,0,285,0,92,303,359,288,277,54
2011-06,197,0,0,93,0,270,0,100,245,260,231,219,57
2011-07,269,0,0,107,0,315,0,96,319,346,191,239,54
2011-08,190,0,0,0,0,246,0,86,266,257,181,242,72
2011-09,190,0,0,68,0,259,0,86,262,269,218,239,66
2011-10,227,0,0,188,0,388,0,86,356,323,289,295,52
2011-11,199,0,0,97,0,292,0,79,283,264,237,254,64
2011-12,202,0,0,102,0,212,0,85,271,280,201,259,67
2012-01,248,69,0,119,88,314,0,75,363,328,293,321,45
2012-02,201,67,0,95,0,217,0,75,286,253,226,237,50
2012-03,219,67,0,88,0,229,0,75,280,274,245,240,55
2012-04,266,69,0,135,0,248,0,75,346,340,290,284,64
2012-05,213,71,0,85,0,214,0,94,270,289,243,230,63
2012-06,226,73,0,97,0,263,0,67,290,283,235,232,64
2012-07,302,0,0,132,0,283,0,67,368,354,192,269,63
2012-08,213,0,0,95,0,259,0,67,293,275,196,244,70
2012-09,276,0,0,113,0,393,0,73,393,356,322,304,46
2012-10,233,0,0,106,0,316,0,82,311,296,245,233,53
2012-11,214,0,0,89,0,231,0,74,313,294,252,266,44
2012-12,255,0,100,118,0,331,0,74,397,390,274,356,50
2013-01,205,70,85,100,0,289,0,74,321,279,261,267,55
2013-02,229,71,85,112,0,248,0,74,311,291,225,250,47
2013-03,279,58,85,127,0,260,0,66,374,348,291,301,56
2013-04,231,58,85,78,0,219,0,89,300,300,277,237,50
2013-05,237,67,85,73,0,211,0,65,288,295,236,247,74
2013-06,330,54,0,94,0,290,0,70,365,340,276,301,59
2013-07,247,51,0,173,0,214,0,71,283,296,190,224,77
2013-08,256,51,0,87,0,254,0,72,312,298,226,271,65
2013-09,275,51,0,112,0,303,0,79,405,383,341,337,84
2013-10,245,62,0,95,62,237,0,62,329,372,263,270,54
2013-11,225,65,0,86,65,195,0,66,345,346,270,276,61
2013-12,293,66,0,99,67,251,0,53,414,452,311,378,45
2014-01,239,67,0,75,70,270,0,79,328,314,277,288,46
2014-02,243,48,0,100,72,228,0,88,329,314,281,279,57
2014-03,299,48,0,109,75,220,0,73,392,396,370,357,62
2014-04,249,60,0,83,87,205,0,69,320,315,254,261,69
2014-05,259,69,0,71,100,221,0,78,310,341,275,266,70
2014-06,345,51,0,91,82,298,0,62,377,396,333,334,67
2014-07,307,51,0,82,82,221,0,92,300,319,205,258,100
2014-08,334,51,0,97,82,255,0,60,417,394,315,362,79
2014-09,239,51,0,77,82,222,0,73,335,311,307,301,61
2014-10,266,63,0,70,0,239,0,74,345,338,306,314,54
2014-11,310,54,0,80,0,268,0,97,452,418,400,434,57
2014-12,260,67,0,84,0,195,0,73,340,335,273,358,53
2015-01,266,71,0,75,0,261,0,74,339,310,327,330,72
2015-02,224,51,0,83,0,292,97,59,331,305,303,318,65
2015-03,323,53,0,88,65,299,0,64,394,411,404,386,56
2015-04,245,70,0,68,77,209,0,76,314,311,330,310,55
2015-05,320,87,0,83,73,254,0,73,381,399,401,374,57
2015-06,257,56,0,60,74,233,0,74,305,306,289,279,69
2015-07,267,55,0,67,76,222,0,62,325,309,207,268,88
2015-08,328,53,0,82,77,257,0,64,402,378,338,369,64
2015-09,231,53,0,77,79,261,100,61,349,316,346,300,64
2015-10,238,60,65,60,0,269,0,77,373,304,314,315,54
2015-11,294,52,62,88,0,285,0,75,451,384,416,426,56
2015-12,243,56,62,73,0,210,0,69,363,352,279,367,51